question,right_answer,bot_response
"Có bao nhiêu cải tiến được tạo ra vào những tháng mùa hè (tháng 6, 7, 8)?","SELECT COUNT(*) AS SummerImprovements FROM Jidouka WHERE MONTH(Jidouka.DateCreate) IN (6, 7, 8);","SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE MONTH(Jidouka.DateCreate) IN (6, 7, 8);"
Có bao nhiêu cải tiến được tạo ra vào 6 tháng cuối của năm 2023?,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) > 6;,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) >= 6;
Các cải tiến nào được thực hiện trong hai tuần cuối của tháng 12 năm 2022?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND MONTH(Jidouka.DateCreate) = 12 AND DAY(Jidouka.DateCreate) >= 18;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND MONTH(Jidouka.DateCreate) = 12 AND DAYOFWEEK(Jidouka.DateCreate) >= 26;
Danh sách các cải tiến được tạo trong ngày đầu tiên của mỗi tháng năm 2023,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND DAY(Jidouka.DateCreate) = 1;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) = 1;
Danh sách các nhóm trong bộ phận DC6 có sản phẩm áp dụng cải tiến?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');
Danh sách cải tiến tiết kiệm trên 100 giờ trong năm 2022,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND Jidouka.TotalTimeSaved > 100;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND TotalTimeSaved > 100;
Danh sách các nhóm trong bộ phận DC6 đã áp dụng cải tiến cho các sản phẩm CAD?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN Job ON Jidouka.JobId = Job.JobId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Job.JobName LIKE LOWER('%CAD%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Jidouka.ProductApply LIKE LOWER('%CAD%');
Danh sách các công việc áp dụng cải tiến trong 6 tháng đầu năm 2024,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate BETWEEN '2024-01-01' AND '2024-06-30';,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DateCreate BETWEEN '2024-01-01' AND '2024-06-30';
Danh sách các nhóm trong bộ phận DC4 đã áp dụng công cụ mới trong cải tiến?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Jidouka.DateCreate > '2023-01-01';,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Jidouka.JidoukaTool.ToolName LIKE '%new%';
Các cải tiến nào được thực hiện trong hai tuần cuối của tháng 12 năm 2022?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND MONTH(Jidouka.DateCreate) = 12 AND DAY(Jidouka.DateCreate) >= 18;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022 AND MONTH(Jidouka.DateCreate) = 12 AND DAYOFWEEK(Jidouka.DateCreate) >= 26;
Cải tiến nào được thực hiện trong tuần đầu tiên của tháng 11 năm 2023?,"SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) = 11 AND WEEK(Jidouka.DateCreate, 1) = WEEK('2023-11-01', 1);","SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) = 11 AND WEEK(Jidouka.DateCreate, 1) = WEEK('2023-11-01', 'ISO-8601');"
Cải tiến nào được thực hiện trong tuần đầu tiên của tháng 11 năm 2023?,"SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) = 11 AND WEEK(Jidouka.DateCreate, 1) = WEEK('2023-11-01', 1);","SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND MONTH(Jidouka.DateCreate) = 11 AND WEEK(Jidouka.DateCreate, 1) = WEEK('2023-11-01', 'ISO-8601');"
Danh sách các nhóm trong DC3 đã áp dụng cải tiến cho sản phẩm nào?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%');
Danh sách các nhóm trong bộ phận DC3 đã sử dụng công cụ hỗ trợ tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Tool.ToolDescription LIKE LOWER('%hỗ trợ tự động hóa%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Tool.ToolDescription LIKE '%hỗ trợ tự động hóa%';
Có bao nhiêu cải tiến được tạo vào ngày lễ trong năm 2023?,"SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND DATE(Jidouka.DateCreate) IN ('2023-01-01', '2023-12-25', '2023-11-30');","SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2023 AND DAYOFWEEK(Jidouka.DateCreate) IN (1, 14, 21);"
Cải tiến nào được tạo vào tháng 2 của năm nay và sử dụng ít nhất một công cụ?,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE MONTH(Jidouka.DateCreate) = 2 AND YEAR(Jidouka.DateCreate) = YEAR(CURDATE());,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE MONTH(Jidouka.DateCreate) = 2 AND YEAR(Jidouka.DateCreate) = YEAR(CURDATE());
Những công việc nào được áp dụng các cải tiến từ nhóm AI?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%');,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%AI%';
Danh sách các nhóm trong bộ phận DC4 đã áp dụng công cụ mới trong cải tiến?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Jidouka.DateCreate > '2023-01-01';,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Jidouka.JidoukaTool.ToolName LIKE '%new%';
Nhóm nào trong bộ phận DC4 đã tiết kiệm trên 1000 giờ?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC4%') AND Jidouka.TotalTimeSaved > 1000;,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC4%') GROUP BY GroupDC.GroupDCName HAVING SUM(Jidouka.TotalTimeSaved) > 1000;
Các nhóm nào trong DC5 đã áp dụng công cụ hỗ trợ tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%DC5%') AND Tool.ToolDescription LIKE LOWER('%hỗ trợ tự động hóa%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%') AND Jidouka.SoftwareUsing LIKE LOWER('%hỗ trợ tự động hóa%');
"Có bao nhiêu cải tiến được tạo ra vào những tháng mùa hè (tháng 6, 7, 8)?","SELECT COUNT(*) AS SummerImprovements FROM Jidouka WHERE MONTH(Jidouka.DateCreate) IN (6, 7, 8);","SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE MONTH(Jidouka.DateCreate) IN (6, 7, 8);"
Những cải tiến nào đã được tạo vào ngày đầu tiên của năm 2023?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2023-01-01%');,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-01-01%');
Các cải tiến được thực hiện trong quý 4 năm 2024 là gì?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE QUARTER(Jidouka.DateCreate) = 4 AND YEAR(Jidouka.DateCreate) = 2024;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate BETWEEN '2024-04-01' AND '2024-06-30';
Danh sách các nhóm trong bộ phận AS đã sử dụng công cụ hỗ trợ tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%AS%') AND Tool.ToolDescription LIKE LOWER('%hỗ trợ tự động hóa%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%AS%') AND Tool.ToolDescription LIKE '%hỗ trợ tự động hóa%';
Danh sách các nhóm trong bộ phận DC6 có sản phẩm áp dụng cải tiến?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');
Tổng số công cụ đã sử dụng trong các nhóm thuộc bộ phận DC3?,SELECT COUNT(DISTINCT Tool.ToolId) FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%');,SELECT COUNT(DISTINCT Tool.ToolName) FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.DepartmentName LIKE LOWER('%DC3%');
Danh sách các nhóm thuộc bộ phận DC6 và sản phẩm áp dụng cải tiến?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%');
Danh sách các cải tiến đã tiết kiệm ít nhất 200 giờ trong năm 2021,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2021 AND Jidouka.TotalTimeSaved >= 200;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2021 AND TotalTimeSaved >= 200;
Danh sách các nhóm trong bộ phận DC6 đã thực hiện cải tiến tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC6%') AND Jidouka.ImprovementName LIKE '%tự động hóa%';
Cải tiến nào được tạo trong 3 ngày đầu tiên của năm nay?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = YEAR(CURDATE()) AND DAYOFYEAR(Jidouka.DateCreate) <= 3;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate BETWEEN '2024-01-01' AND '2024-01-03';
Có bao nhiêu cải tiến được tạo vào buổi sáng của ngày 15/03/2023?,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE DATE(Jidouka.DateCreate) LIKE LOWER('%2023-03-15%') AND HOUR(Jidouka.DateCreate) < 12;,SELECT COUNT(Jidouka.ImprovementName) FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-03-15%') AND HourOfDay >= 6;
Danh sách các nhóm trong DC3 đã áp dụng cải tiến cho sản phẩm nào?,"SELECT DISTINCT GroupDC.GroupDCName, Jidouka.ProductApply FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%');
Danh sách các nhóm trong bộ phận AS và DC4?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%AS%') OR Department.DepartmentName LIKE LOWER('%DC4%');,"SELECT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName IN ('AS', 'DC4');"
Danh sách các nhóm trong bộ phận DC3 đã áp dụng cải tiến tự động hóa?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Jidouka.ImprovementName LIKE LOWER('%jidouka%');,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%') AND Jidouka.ImprovementName LIKE '%tự động hóa%';
What is the most recent project from the AI group in department DC6?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC6%') ORDER BY Jidouka.DateCreate DESC LIMIT 1;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE '%AI%' AND Department.DepartmentName LIKE '%DC6%' ORDER BY Jidouka.DateCreate DESC LIMIT 1;
List all innovations created by the AI group in department AS.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%AS%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%AS%');
Find the month with the highest number of innovations launched in 2022.,"SELECT MONTH(DateCreate) AS Month, COUNT(*) AS Innovations FROM Jidouka WHERE YEAR(DateCreate) = 2022 GROUP BY MONTH(DateCreate) ORDER BY Innovations DESC LIMIT 1;","SELECT MONTH(DateCreate) AS Month, COUNT(*) AS InnovationCount FROM Jidouka WHERE YEAR(DateCreate) = 2022 GROUP BY MONTH(DateCreate) ORDER BY InnovationCount DESC LIMIT 1;"
Which groups collaborated on innovations in both DC6 and DC8?,"SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName IN ('DC6', 'DC8');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE GroupDC.GroupDCName IN (SELECT GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE GroupDC.DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%DC6%')) AND GroupDC.DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%DC8%'))) AND Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE JidoukaTool.ToolId IN (SELECT Tool.ToolId FROM Tool WHERE Tool.ToolName LIKE LOWER('%Jidouka%'))) AND JidoukaTool.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE JidoukaTool
How much time has been saved by innovations from the AI group in DC5?,SELECT SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC5%');,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC5%');
